dist_case_num,circ_case_num
5B02007584,109111019
1B02009470,109140037
1B02009470,109140038
1B02009470,109140039
1B02009470,109140040
1B02009470,109140041
1B02009470,109140042
1B02009470,109140043
5B01927196,109020011
5B01927196,109020013
0B02062648,110123022
0B02062648,110123023
1B02071154,110181024
1B02071154,110181025
1B02071154,110181026
1B02071154,110181027
1B02071154,110181028
1B02071154,110181029
2B02071162,110181025
2B02071162,110181026
2B02071162,110181027
2B02077826,110174018
2B02077826,110174019
2B02080038,110224040
2B02080038,110224041
2B02080038,110224042
3B02076238,110190031
3B02076238,110190032
3B02076238,110190033
0B02084873,210263001
0B02084873,210263002
0B02084873,210263003
0B02084873,210263004
0B02084873,210263005
0B02084873,210263006
0B02110122,111095036
0B02110122,111095037
2B02128912,111216020
2B02128912,111216021
4B02110119,111095031
4B02110119,111095033
6B02105781,211088003
6B02105781,211088004
0B02182376,112236015
0B02182376,112236016
1B02232014,113239003
1B02232014,113239004
0B02280607,114282010
0B02280607,114282011
6B02280606,114287033
6B02280606,114287034
5B01937934,208127001
5B01937934,208127002
6B01928030,208112029
6B01928030,208112030
0B01973573,108288016
0B01973573,108288018
2B01955578,108200011
2B01955578,108200012
2B01955578,108200013
3B01951267,108197001
3B01951267,108197002
3B01973996,108284020
3B01973996,108284021
6B01974062,108261029
6B01974062,108261032
0B01974133,108261028
0B01974133,108261031
2B01884248,208172028
2B01884248,208172029
2B01884248,208172030
2B01884248,208172031
2B01973519,108288017
2B01973519,108288019
1B02027509,209294023
1B02027509,209294024
2B02035091,109292048
2B02035091,109292049
3B02040454,109328015
3B02040454,109328016
4B02015997,109170021
4B02015997,109170023
4B02018293,109170020
4B02018293,109170021
4B02018293,109170022
5B02025301,109240026
5B02025301,109240028
5B02026162,109261032
5B02026162,109261033
5B02026162,109261034
1B01997675,209105011
1B01997675,209105013
1B02088031,110274046
1B02088031,110274047
1B02088031,110274048
1B02088031,110274049
1B01993104,109009014
1B01993104,109009015
4B01992617,109029008
4B01992617,109029009
5B02085585,210293001
5B02085585,210293002
2B02077126,210257006
2B02077126,210257007
2B02077126,210257008
2B02093324,110312010
2B02093324,110312011
3B02076987,210257007
3B02076987,210257008
3B02076987,210257009
6B02084963,210273010
6B02084963,210273011
1B02120686,111171022
1B02120686,111171023
1B02120686,111171024
3B02139854,211325001
3B02139854,211325002
5B02107859,211089019
5B02107859,211089020
1B02161573,112090028
1B02161573,112090029
1B02161573,112090030
1B02161573,112090031
1B02161195,112083018
1B02161195,112083019
6B02240881,113303012
6B02240881,113303013
6B02255091,414065022
6B02255091,414065023
3B02064072,110119001
3B02064072,110119003
5B02058215,110090014
5B02058215,110090015
5B02058215,110090016
2B02283836,114321036
2B02283836,114321037
4B02250546,114023001
4B02250546,114023002
3B01933137,108056031
3B01933137,108056032
3B01933137,108056033
3B01933137,108056034
4B01937975,108088022
4B01937975,108088023
5B02067896,110155029
5B02067896,110155030
